"col0","col1","col2","col3","col4","col5","col6"
"args",0,1,4297,4297,"did_set_term","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4314,4314,"did_set_showtabline","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4324,4324,"did_set_smoothscroll","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4337,4337,"did_set_spell","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4350,4350,"did_set_swapfile","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4364,4364,"did_set_termguicolors","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4429,4429,"did_set_terse","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4460,4460,"did_set_toolbar","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4479,4479,"did_set_textwidth","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4489,4489,"did_set_toolbariconsize","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4510,4510,"did_set_title_icon","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4520,4520,"did_set_ttymouse","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4629,4629,"did_set_verbosefile","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4643,4643,"did_set_viewoptions","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4659,4659,"did_set_cedit","/home/runner/work/vim/vim/src/ex_getln.c"
"args",0,1,4680,4680,"did_set_window","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4730,4730,"did_set_winminheight","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4753,4753,"did_set_winminwidth","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4776,4776,"did_set_winwidth","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4788,4788,"did_set_wildmode","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4803,4803,"did_set_wlsteal","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4810,4810,"did_set_wildoptions","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4831,4831,"did_set_winaltkeys","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4832,4832,"did_set_wrap","/home/runner/work/vim/vim/src/option.c"
"args",0,1,4865,4865,"did_set_wincolor","/home/runner/work/vim/vim/src/optionstr.c"
"args",0,1,4876,4876,"did_set_quickfixtextfunc","/home/runner/work/vim/vim/src/quickfix.c"
"args",0,1,8986,8986,"did_set_showtabpanel","/home/runner/work/vim/vim/src/option.c"
"args",0,3,52,52,"expand_set_completeslash","/home/runner/work/vim/vim/src/proto/optionstr.pro"
"args",0,3,185,185,"expand_set_termwintype","/home/runner/work/vim/vim/src/proto/optionstr.pro"
"args",1,3,28,28,"mzscheme_call_vim","/home/runner/work/vim/vim/src/proto/evalfunc.pro"
"flags",3,4,1736,1736,"stropt_copy_value","/home/runner/work/vim/vim/src/option.c"
"flags",3,5,58,58,"dos_expandpath","/home/runner/work/vim/vim/src/proto/filepath.pro"
"allocdata",1,2,17,17,"default_malloc","/home/runner/work/vim/vim/src/libvterm/src/vterm.c"
"allocdata",1,2,25,25,"default_free","/home/runner/work/vim/vim/src/libvterm/src/vterm.c"
"rows",2,4,508,508,"line_popcount","/home/runner/work/vim/vim/src/libvterm/src/screen.c"
"str",0,1,20,20,"execute_cmds_from_string","/home/runner/work/vim/vim/src/proto/evalfunc.pro"
"str",0,1,3147,3147,"mch_print_begin_page","/home/runner/work/vim/vim/src/hardcopy.c"
"str",1,2,104,104,"socket_server_peek_reply","/home/runner/work/vim/vim/src/proto/os_unix.pro"
