called,args,parent,file
memmove,3,channel_collapse,/home/runner/work/vim/vim/src/channel.c
memmove,3,channel_consume,/home/runner/work/vim/vim/src/channel.c
memmove,3,channel_get_all,/home/runner/work/vim/vim/src/channel.c
tv_get_number,1,f_remote_read,/home/runner/work/vim/vim/src/clientserver.c
tv_get_number,1,remote_common,/home/runner/work/vim/vim/src/clientserver.c
strlen,1,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
strlen,1,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
strlen,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_isinit,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_ends_in,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_starts_with,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_ispreproc_cont,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_isscopedecl,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_skipcomment,/home/runner/work/vim/vim/src/cindent.c
strlen,1,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
vim_strsave,1,remote_common,/home/runner/work/vim/vim/src/clientserver.c
vim_free,1,may_invoke_callback,/home/runner/work/vim/vim/src/channel.c
vim_free,1,drop_messages,/home/runner/work/vim/vim/src/channel.c
vim_free,1,invoke_one_time_callback,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_push_json,/home/runner/work/vim/vim/src/channel.c
vim_free,1,remove_json_node,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_save,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_collapse,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_get_all,/home/runner/work/vim/vim/src/channel.c
vim_free,1,channel_get,/home/runner/work/vim/vim/src/channel.c
vim_free,1,cin_isscopedecl,/home/runner/work/vim/vim/src/cindent.c
vim_free,1,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
vim_free,1,remote_common,/home/runner/work/vim/vim/src/clientserver.c
alloc,1,channel_push_json,/home/runner/work/vim/vim/src/channel.c
alloc,1,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
alloc,1,channel_save,/home/runner/work/vim/vim/src/channel.c
alloc,1,channel_collapse,/home/runner/work/vim/vim/src/channel.c
